iter	Passed	Remaining
415	2928	4110
416	2935	4103
417	2941	4095
418	2947	4087
419	2953	4078
420	2960	4071
421	2966	4063
422	2972	4055
423	2979	4046
424	2985	4038
425	2991	4031
426	2998	4023
427	3004	4014
428	3010	4007
429	3016	3998
430	3023	3991
431	3029	3983
432	3035	3975
433	3042	3967
434	3049	3960
435	3055	3952
436	3061	3944
437	3068	3936
438	3074	3929
439	3081	3921
440	3086	3912
441	3093	3904
442	3099	3897
443	3106	3889
444	3112	3881
445	3118	3873
446	3124	3865
447	3131	3857
448	3137	3850
449	3143	3842
450	3150	3835
451	3156	3827
452	3163	3819
453	3169	3811
454	3175	3803
455	3182	3796
456	3188	3788
457	3195	3781
458	3201	3773
459	3208	3766
460	3215	3759
461	3222	3752
462	3229	3745
463	3236	3738
464	3243	3731
465	3249	3724
466	3256	3717
467	3263	3709
468	3270	3702
469	3276	3695
470	3283	3687
471	3290	3680
472	3297	3673
473	3303	3666
474	3311	3659
475	3318	3653
476	3327	3648
477	3335	3642
478	3342	3635
479	3349	3629
480	3357	3622
481	3364	3616
482	3372	3610
483	3379	3603
484	3386	3596
485	3393	3589
486	3400	3582
487	3408	3575
488	3415	3568
489	3423	3562
490	3429	3555
491	3437	3549
492	3444	3542
493	3451	3535
494	3458	3528
495	3465	3521
496	3473	3515
497	3480	3508
498	3488	3502
499	3494	3494
500	3501	3487
501	3509	3481
502	3516	3474
503	3524	3468
504	3532	3462
505	3539	3455
506	3546	3448
507	3553	3441
508	3560	3434
509	3567	3427
510	3574	3420
511	3580	3412
512	3587	3405
513	3593	3398
514	3600	3390
515	3606	3383
516	3613	3375
517	3619	3367
518	3625	3360
519	3632	3353
520	3638	3345
521	3645	3337
522	3652	3330
523	3658	3323
524	3665	3316
525	3671	3308
526	3677	3301
527	3684	3293
528	3690	3286
529	3696	3278
530	3703	3271
531	3710	3264
532	3716	3256
533	3723	3249
534	3729	3241
535	3736	3234
536	3743	3227
537	3750	3220
538	3756	3212
539	3763	3205
540	3771	3200
541	3778	3193
542	3785	3186
543	3792	3179
544	3800	3172
545	3806	3165
546	3813	3157
547	3820	3151
548	3827	3144
549	3834	3137
550	3841	3130
551	3848	3123
552	3855	3116
553	3862	3109
554	3869	3102
555	3876	3095
556	3884	3089
557	3890	3082
558	3897	3074
559	3904	3067
560	3911	3060
561	3918	3054
562	3926	3047
563	3933	3040
564	3940	3033
565	3948	3027
566	3955	3020
567	3962	3013
568	3970	3007
569	3977	3000
570	4007	3010
571	4020	3008
572	4027	3001
573	4035	2995
574	4042	2988
575	4050	2981
576	4056	2973
577	4063	2966
578	4070	2959
579	4077	2952
580	4083	2945
581	4090	2937
582	4096	2930
583	4103	2923
584	4110	2915
585	4117	2908
586	4124	2901
587	4131	2894
588	4137	2887
589	4144	2880
590	4151	2872
591	4157	2865
592	4164	2857
593	4170	2850
594	4177	2843
595	4183	2835
596	4190	2828
597	4196	2820
598	4203	2813
599	4209	2806
600	4216	2799
601	4223	2791
602	4230	2784
603	4236	2777
604	4244	2771
605	4250	2763
606	4257	2756
607	4264	2749
608	4271	2742
609	4278	2735
610	4284	2727
611	4291	2720
612	4298	2713
613	4305	2706
614	4312	2699
615	4318	2692
616	4325	2685
617	4332	2677
618	4339	2670
619	4346	2663
620	4353	2656
621	4359	2649
622	4365	2642
623	4372	2634
624	4379	2627
625	4387	2620
626	4393	2613
627	4400	2606
628	4406	2599
629	4413	2591
630	4419	2584
631	4426	2577
632	4432	2569
633	4439	2562
634	4446	2555
635	4453	2548
636	4460	2542
637	4467	2534
638	4474	2527
639	4481	2520
640	4488	2513
641	4495	2506
642	4502	2499
643	4508	2492
644	4515	2485
645	4522	2478
646	4529	2471
