iter	Logloss
0	0.6270938462
1	0.6051096722
2	0.5889652388
3	0.5764125259
4	0.5668417301
5	0.5567578965
6	0.5513486034
7	0.5455906817
8	0.5425207519
9	0.5399394808
10	0.5366948919
11	0.5325961384
12	0.5306603343
13	0.5281191314
14	0.5256373913
15	0.5246510998
16	0.5227990619
17	0.522319031
18	0.5218806114
19	0.5215353879
20	0.5206292877
21	0.5198018401
22	0.5189561845
23	0.5186449309
24	0.5184898778
25	0.518248984
26	0.5176967953
27	0.5175285155
28	0.5170670158
29	0.5164279387
30	0.5155980845
31	0.5155121431
32	0.5149324989
33	0.5148682916
34	0.5147374168
35	0.5146346035
36	0.5144989897
37	0.5142145816
38	0.5141503719
39	0.5140320102
40	0.5139615024
41	0.5138143812
42	0.5136753455
43	0.5135990411
44	0.5135454724
45	0.5133925144
46	0.5132575958
47	0.5131535332
48	0.5131016484
49	0.5129631885
50	0.5129358264
51	0.512778445
52	0.5126475985
53	0.5125658891
54	0.5124157776
55	0.5123224887
56	0.5122560217
57	0.5120988351
58	0.5120402514
59	0.5114797958
60	0.511421668
61	0.5113797918
62	0.5112891861
63	0.5112416447
64	0.5111039191
65	0.5109888037
66	0.5109150903
67	0.5107563338
68	0.5107148664
69	0.5105282034
70	0.5105134136
71	0.5104249245
72	0.5103205238
73	0.510268323
74	0.5102383578
75	0.5101419392
76	0.5100912152
77	0.5100530331
78	0.5099752545
79	0.5099234013
80	0.5098090356
81	0.5097740703
82	0.5096635548
83	0.5096227518
84	0.5095915895
85	0.5095587151
86	0.5095224397
87	0.5094749504
88	0.5093369157
89	0.5092649854
90	0.5092204343
91	0.5091386723
92	0.5090586355
93	0.5089711058
94	0.5088960138
95	0.5087936484
96	0.5087554212
97	0.5086787217
98	0.5086159155
99	0.5084831409
100	0.5083719585
101	0.5082556691
102	0.5082332062
103	0.5081324333
104	0.5081007285
105	0.5079474324
106	0.5079142875
107	0.5078278464
108	0.5077711753
109	0.5077007092
110	0.507659101
111	0.5074861113
112	0.5073582507
113	0.5072745039
